run,detailed_lattice_code,final_lattice_code,kT,EE,linker,how_initialized
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_6_chn_num_3_linker_12,BCC,BCC,1.5,6,12-BCC,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_8_chn_num_3_linker_10,FCC,FCC,1.5,8,10-BCC,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_8_chn_num_3_linker_6,melted,melted,1.5,8,6-BCC,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_8_chn_num_3_linker_8,coexistance FCC/HCP,coexistance FCC/HCP,1.5,8,8-BCC,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_9_chn_num_3_linker_8,melted,melted,1.5,9,8-BCC,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_0.3_eps_-70_EE_8_chn_num_3_linker_8,SC,SC,0.3,8,8-BCT,BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_0.5_eps_-70_EE_8_chn_num_3_linker_8,SC polycrystal,SC,0.5,8,8-BCT,BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_0.7_eps_-70_EE_8_chn_num_3_linker_8,mixture SC/BCC/BCT,mixture SC/BCC/BCT,0.7,8,8-BCT,BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_0.9_eps_-70_EE_8_chn_num_3_linker_8,jammed/glass,jammed/glass,0.9,8,8-BCT,BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.1_eps_-70_EE_10_chn_num_3_linker_10,FCC,FCC,1.1,10,10-BCT,BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.1_eps_-70_EE_10_chn_num_3_linker_6,melted,melted,1.1,10,6-BCT,BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.1_eps_-70_EE_10_chn_num_3_linker_8,FCC,FCC,1.1,10,8-BCT,BCT
