run,run_dir,final_lattice_code,BC_deloc_code,nframes,final_crystal_shape,BC_spatial_distribution,other_notes,gr_messiness,weird_features,how_initialized,kT,EE,chain_num,linker
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.0_eps_-70_EE_7_chn_num_3_linker_8,chain_len,mixture,medium,136,mixture,messy crosses,coord num almost 6-8,almost pristine; broad peaks,small regions of very messy crosses,BCC,1,7,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.2_eps_-70_EE_7_chn_num_3_linker_8,chain_len,mixture,high,136,mixture,very messy interlocking hexes with very neat crosses,stabilizes frame 34,almost pristine; broad peaks,GB with sublattice similar to BCT,BCC,1.2,7,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_7_chn_num_3_linker_8,chain_len,mixture,medium,136,mixture,messy crosses and homogenous slab,GB at PBC condition,almost pristine; broad peaks,"",BCC,1.5,7,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.0_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,high,261,mixture,"some neat interlocking hexes, some very messy",coord num 4-5,"","",BCT,1,8,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.45_eps_-70_EE_8_chn_num_3_linker_8,chain_len,FCC,high,136,FCC,"very messy sublattice, interlocking hexes",coord num 12,"FCC peaks, broad, almost pristine",none,BCT,1.45,8,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.1_eps_-70_EE_9_chn_num_3_linker_8,chain_len,FCC,medium,127,FCC,messy Xs,coord num 12,"FCC peaks, broad peaks",get slurm file,FCC,1.1,9,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.2_eps_-70_EE_9_chn_num_3_linker_8,chain_len,FCC,medium,123,FCC,messy Xs,coord num 12,"FCC peaks, broad peaks",get slurm file,FCC,1.2,9,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.4_eps_-70_EE_9_chn_num_3_linker_8,chain_len,FCC,medium,115,FCC,messy Xs,coord num 12,"FCC peaks, broad peaks",get slurm file,FCC,1.4,9,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.0_eps_-70_EE_10_chn_num_3_linker_8,chain_len,FCC,high,83,FCC,very messy Xs,coord num 12,"FCC like peaks, very broad peaks",oscillating between messy and not so messy sublattice?,FCC,1,10,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.2_eps_-70_EE_10_chn_num_3_linker_8,chain_len,FCC,high,76,FCC,very messy Xs,coord num 12,broad peaks,oscillating between messy and not so messy sublattice?,FCC,1.2,10,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.4_eps_-70_EE_10_chn_num_3_linker_8,chain_len,FCC,high,72,FCC,very messy Xs,coord num 12,very broad peaks,oscillating between messy and not so messy sublattice?,FCC,1.4,10,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.9_eps_-70_EE_4_chn_num_3_linker_10,"",BCC,high,136,BCC,very messy crosses,double coord num 14,BCC peaks; broad peaks,none,BCC,1.9,4,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.7_eps_-70_EE_4_chn_num_3_linker_10,"",BCC,high,136,BCC,very messy crosses,double coord num 14,"BCC peaks, broad peaks",none,BCC,1.7,4,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.1_eps_-70_EE_4_chn_num_3_linker_10,"",BCT,low,136,BCT,localized in weird line things,"ccord num 4, triple coord num 16","unkown peaks, almost pristine peaks",tetragonal sim box,BCC,1.1,4,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.3_eps_-70_EE_3_chn_num_3_linker_8,"",BCT,NA,136,BCT,"space spanning rhombuses, well defined sublattice","triple coord num 16, c = 2a",BCT peaks,"",FCC,1.3,3,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_7_chn_num_3_linker_8,"",BCC,medium,136,BCC,"region dependent, neat crosses and messy hexes",double coord num 13.33,"BCC peaks, broad peaks",propagating delocalized surface,BCC,1.3,7,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.3_eps_-70_EE_9_chn_num_3_linker_8,"",FCC,medium,84,FCC,messy crosses,stablizes quickly compared to previous case,"FCC peaks, broad peaks",none,FCC,1.3,9,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.5_eps_-70_EE_9_chn_num_3_linker_8,"",FCC,high,114,FCC,very messy crosses,coord num 12,"FCC peaks, broad peaks",,FCC,1.5,9,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.8_eps_-70_EE_4_chn_num_3_linker_6,"",BCT,low,135,BCT,"localized """"point"""" regions to hopping regions",triple coord num 16,"BCT peaks, initial triple peak, broad peaks",,BCC,0.8,4,3,6
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.7_eps_-70_EE_4_chn_num_3_linker_6,"",BCT,low,135,BCT,"localized """"point"""" regions to hopping regions",coord num 10,"BCT peaks, pristine peaks",does not have clumped triple peak,BCC,0.7,4,3,6
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.6_eps_-70_EE_7_chn_num_3_linker_8,"",mixture,high,135,coexistance BCC/FCC,"region dependent, messy crosses to very messy interlocking hexes",double coord num 13,broad peaks,"middle region of PBC box is BCC, top-down z dir are probably FCC",BCC,1.6,7,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.4_eps_-70_EE_7_chn_num_3_linker_8,"run for longer, FCC region coalesces towards end of initial simulation",mixture,high,135,coexistance BCC/FCC,"region dependent, messy crosses to very messy interlocking hexes",double coord num 13.35,broad peaks,"most of the crystal is BCC, mesy region propagates until coalescing!",BCC,1.4,7,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.9_eps_-70_EE_7_chn_num_3_linker_8,"",mixture,medium,135,coexistance BCC/FCC,"region dependent, neat crosses to messy hopping regions",double coord num 13.75,"two initial pristine BCC peaks, pristine peaks",mostly BCC but with small FCC domains,BCC,0.9,7,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.1_eps_-70_EE_7_chn_num_3_linker_8,"",mixture,medium,135,coexistance BCC/messy lattice,"region dependent, neat crosses to messy hopping regions",double coord num 13.39,"two initial pristine BCC peaks, pristine peaks","middle region of PBC box is BCC, top-down z dir is a messy lattice",BCC,1.1,7,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.8_eps_-70_EE_7_chn_num_3_linker_8,"",mixture,medium,135,coexistance BCC/messy lattice,"region dependent, neat crosses to messy hopping regions",double coord num 14.36,"two initial pristine BCC peaks, pristine peaks",BCC domains and glassy regions,BCC,0.8,7,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_4_chn_num_3_linker_10,"",BCT,NA,135,BCT,pristine sublattice,triple coord num 16,"BCT peaks, triple peak",none,BCC,1.5,4,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.6_eps_-70_EE_4_chn_num_3_linker_10,"",mixture,NA,135,coexistance BCT/messy lattice,pristine sublattice,triple coord num 16,"BCT peaks, triple peak","displaces lattice points, maybe onset of transition between BCT and BCC",BCC,1.6,4,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.9_eps_-70_EE_4_chn_num_3_linker_6,"",BCT,NA,135,BCT,ordered sublattice,triple coord num 16,"BCT peaks, triple peak",none,BCC,0.9,4,3,6
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.1_eps_-70_EE_4_chn_num_3_linker_6,"",BCC,high,135,BCC,very messy croses,double coord num 14,"BCC peaks, broad peaks",none,BCC,1.1,4,3,6
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.7_eps_-70_EE_5_chn_num_3_linker_8,"",BCC,high,135,BCC,very messy crosses,double coord num 14,"BCC peaks, broad peaks",none,BCC,1.7,5,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.6_eps_-70_EE_5_chn_num_3_linker_8,"",BCC,medium,135,BCC,messy crosses,double coord num 14,"BCC peaks, broad peaks",none,BCC,1.6,5,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.4_eps_-70_EE_5_chn_num_3_linker_8,"",BCC,medium,135,BCC,messy crosses,double coord num 14,"BCC peaks, broad peaks","none, lots hopping means low diffusion",BCC,1.4,5,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.2_eps_-70_EE_5_chn_num_3_linker_8,"",BCC,NA,135,BCC,crosses,double coord num 14,"BCC peaks, pristine peaks",none,BCC,1.2,5,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.1_eps_-70_EE_5_chn_num_3_linker_8,"",BCC,NA,135,BCC,crosses,double coord num 14,"BCC peaks, pristine peaks","none, low diffusing particles",BCC,1.1,5,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.9_eps_-70_EE_5_chn_num_3_linker_8,"",BCC,medium_low,135,BCC,neat crosses,double coord num 14,"BCC peaks,  pristine",none,BCC,0.9,5,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1_eps_-70_EE_5_chn_num_3_linker_8,"",BCC,medium_low,135,BCC,neat crosses,double coord num 14,"BCC peaks, pristine peaks",none,BCC,1,5,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.4_eps_-70_EE_4_chn_num_3_linker_10,"",BCT,medium_low,135,BCT,neat sublattice,triple coord num 16,"BCT peaks, triple peaks",none,BCC,1.4,4,3,10
