run,run_dir,final_lattice_code,nframes,final_crystal_shape,BC_spatial_distribution,use_anneal,other_notes,gr_messiness,weird_features
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.8_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,136,mixture,discretized square mixed with something else,"",none,almost pristine but with wierd peak transitions,very mixed regions
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.0_eps_-70_EE_8_chn_num_3_linker_8,chain_len,lattice no ID,136,lattice no ID,offset hexes,"",none,almost pristine but with wierd peak transitions,offset stacking ABAB
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.3_eps_-70_EE_6_chn_num_3_linker_8,chain_len,mixture (SC + something else),136,mixture (SC + something else),"","",coord num 6,wierd tails on almost pristine peaks,""
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.3_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,136,SC,squares,"",coord num 6,pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.4_eps_-70_EE_6_chn_num_3_linker_8,chain_len,mixture (SC + something else),136,mixture (SC + something else),squares + zig-zag GB,"",coord num 6,wierd tails on almost pristine peaks,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.4_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,136,SC,squares,"",coord num 6,pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.5_eps_-70_EE_6_chn_num_3_linker_8,chain_len,coexistance SC/BCT-altcenter,136,mixture (SC + something else),"",yes,"",overlapping pristine peaks,""
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.5_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,136,SC,squares,"",coord num 6,pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.6_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCT-altcenter,136,mixture (BCC + something else),"",yes,two phases visible n_y direction,overlapping pristine peaks,""
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.6_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,136,SC,squares,"",coord num 6,pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.75_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,136,mixture,"","",coord num 4.5,"",stabilizes until frame 26
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.7_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCT-altcenter,136,HCP,interlocking circles and arrows,yes,double coord num 6; looks like ACs are As in NiAs: http://wwwchem.uwimona.edu.jm/courses/nias.html,almost pristine,"solidifies around from frame 55. 
Peaks: 
10.45
11.25
13.45
14.95
19.15
20.65"
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.7_eps_-70_EE_7_chn_num_3_linker_8,chain_len,mixture,136,mixture,"","",coord num 4-6; stabilizes at frame 63,"",""
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.85_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,136,mixture,"","",coord num 4; stabilizes at frame 65,"",""
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.8_eps_-70_EE_8_chn_num_3_linker_8,chain_len,no lattice ID,136,no lattice ID,"","",coord num 4,"",shearing simulation box
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.95_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,136,mixture,"crosses, interlocking hexes(messy and very messy)","",doesn't settle until frame 45,broad-ish peaks,mixture
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.0_eps_-70_EE_7_chn_num_3_linker_8,chain_len,coexistance BCC/FCC,136,mixture,messy crosses,no,coord num almost 6-8,almost pristine; broad peaks,small regions of very messy crosses
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.2_eps_-70_EE_7_chn_num_3_linker_8,chain_len,coexistance BCC/FCC,136,coexistance BCC/FCC,very messy interlocking hexes with very neat crosses,"",stabilizes frame 34,almost pristine; broad peaks,GB with sublattice similar to BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_7_chn_num_3_linker_8,chain_len,coexistance BCC/FCC,136,mixture,messy crosses and homogenous slab,yes,GB at PBC condition,almost pristine; broad peaks,""
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.0_eps_-70_EE_8_chn_num_3_linker_8,chain_len,coexistance BCC/FCC,261,coexistance BCC/FCC,"some neat interlocking hexes, some very messy","",coord num 4-5,"",""
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.1_eps_-70_EE_7_chn_num_3_linker_8,chain_len,coexistance BCC/FCC,136,crystal with cracks,"",yes,coord num 6-7,BCC peaks; almost pristine,""
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.1_eps_-70_EE_9_chn_num_3_linker_8,chain_len,FCC,136,FCC,messy sublattices (crosses and interlocking hexes),"","coord num 12, FCC peaks","broad, almost pristine peaks",none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.2_eps_-70_EE_7_chn_num_3_linker_8,chain_len,mixture,136,mixture,"region dependent, ","",coord num 6,"broad, almost pristine peaks",""
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.2_eps_-70_EE_9_chn_num_3_linker_8,chain_len,FCC,136,FCC,"messy sublattice, interlocking hexes","",coord num 12,"FCC peaks, broad, almost pristine",none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.45_eps_-70_EE_8_chn_num_3_linker_8,chain_len,FCC,136,FCC,"very messy sublattice, interlocking hexes","",coord num 12,"FCC peaks, broad, almost pristine",none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.4_eps_-70_EE_7_chn_num_3_linker_8,chain_len,mixture,136,mixture,"region dependent, neat to messy interlocking hexes (from one view: neat offset hexes + extremely messy crosses)","",shears/stabilizes at frame 60,broad peaks,box shears and unites a mismatching sublattice
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.4_eps_-70_EE_9_chn_num_3_linker_8,chain_len,FCC,136,FCC,"very messy sublattice, interlocking hexes","",coord num 12,FCC peaks; broad peaks,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.6_eps_-70_EE_9_chn_num_3_linker_8,chain_len,FCC,136,FCC,very messy interlocking hexes,"","coord num 12, liquidy for the first couple frames","FCC peaks, broad peaks",""
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.3_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,136,SC,squares,"",coord num 6,pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.4_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,136,SC,squares,"",coord num 6,pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.5_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,136,SC,squares,"",coord num 6,pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.6_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,136,SC,squares,"",coord num 6,pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.7_eps_-70_EE_7_chn_num_3_linker_8,chain_len,maybe mixure of same crytal phase,136,maybe mixure of same crytal phase,neat and messy sublattices (offset hexes),"","",overlapping peaks,messy bits do not have a percievable speed difference than in neat regions
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.0_eps_-70_EE_7_chn_num_3_linker_8,chain_len,maybe mixure of same crytal phase,136,maybe mixure of same crytal phase,neat and messy sublattices (offset hexes),"",coord num 6-7,"BCC peaks, almost pristine",messy bits do have a percievable speed difference than in neat regions
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.1_eps_-70_EE_9_chn_num_3_linker_8,chain_len,FCC,127,FCC,messy Xs,"",coord num 12,"FCC peaks, broad peaks",get slurm file
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.2_eps_-70_EE_7_chn_num_3_linker_8,chain_len,maybe mixure of same crytal phase,136,maybe mixure of same crytal phase,"neat and messy sublattices (offset hexes, messy crosses)","",coord num 6,"BCC peaks, broad peaks; almost pristine",messy bits do have a percievable speed difference than in neat regions
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.2_eps_-70_EE_9_chn_num_3_linker_8,chain_len,FCC,123,FCC,messy Xs,"",coord num 12,"FCC peaks, broad peaks",get slurm file
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.4_eps_-70_EE_9_chn_num_3_linker_8,chain_len,FCC,115,FCC,messy Xs,"",coord num 12,"FCC peaks, broad peaks",get slurm file
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.5_eps_-70_EE_7_chn_num_3_linker_8,chain_len,coexistance BCC/FCC,136,"mixture, maybe half BCT and half BCC","neat and messy sublattices (offset hexes, messy crosses)","no, took it too high",stabilizes at frame 60;also looks like FCC from faces but BCC/BCT from one edge,"BCC peaks, wrong amplitudes, broad peaks; almost pristine",regions of messy sublattices combines to form a bigger one
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.25_eps_-70_EE_8_chn_num_3_linker_8,chain_len,"mixture, SC and HEX ",136,"mixture, SC and HEX ",hexes and lines (stripes!!),"",we are able to observe the creation of three GBs; first 10 frames (still hex) coord number is 2(first peak)+6(second peak),"almost pristine, strange peaks ","starts as HEX, starts converting to stripes of SC"
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.4_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,136,SC,"squares, appearance of very localized points (2 points) per side and messy sides, maybe there is a lack of small particles","",coord num 6,pristine,""
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.4_eps_-70_EE_9_chn_num_3_linker_8,chain_len,SC polycrystal,136,SC polycrystal,squares and something else,"",coord num 5.666,"almost pristine, small bumps inbetween peaks, some are overlapping",none
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.6_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,136,SC,squares,"",coord num 6,almost pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.6_eps_-70_EE_9_chn_num_3_linker_8,chain_len,SC polycrystal,136,SC polycrystal,squares and something else,no,coord num 5.3,"almost pristine, small bumps inbetween peaks, some are overlapping",none
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.75_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,136,mixture,"squares, messy honeycombs","",ondulating simulation box,almost pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.8_eps_-70_EE_7_chn_num_3_linker_8,chain_len,mixture,136,SC,squares,no,coord num 6,almost pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.8_eps_-70_EE_9_chn_num_3_linker_8,chain_len,jammed,136,"jammed, glass, some parts SC",very messy,no,none,two peaks are almost pristine and then transition to a liquid,none
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.0_eps_-70_EE_7_chn_num_3_linker_8,chain_len,mixture,136,cracked SC,squares and messy at GB,no,coord num 5.2,"almost pristine, small peaks accompanying regular (large amplitude) peaks ",diagonal GB
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.0_eps_-70_EE_9_chn_num_3_linker_8,chain_len,jammed,136,condensed liquid,homogenous with traces of sublattice,no,none,liquid with two prinicipal BCC peaks,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.65_eps_-70_EE_6_chn_num_3_linker_8,chain_len,mixture,136,mixture; maybe jammed lattice,"broad honeycomb / broad totem poles
 | things","no, rerun",,clear peaks with extra hump things,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.8_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,very neat crosses,"",num coord of first and second nearest neighbors 14,almost pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.9_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,very neat crosses,"",num coord of first and second nearest neighbors 14,almost pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.0_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,very neat crosses,"",num coord of first and second nearest neighbors 14,almost pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.1_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,very neat crosses,"",num coord of first and second nearest neighbors 14,almost pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.2_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,very neat crosses,"",num coord of first and second nearest neighbors 14,almost pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.4_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,crosses,"",num coord of first and second nearest neighbors 14,almost pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.55_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,messy crosses,"",num coord of first and second nearest neighbors 14,"broad peaks, almost pristine",none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.57_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,messy crosses,"",num coord of first and second nearest neighbors 14,"broad peaks, almost pristine",none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,messy crosses,"",num coord of first and second nearest neighbors 14,"broad peaks, almost pristine",simulation box shears and the BCC unit cells seem to spread out in the simulation box and oriented in the [111]
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.62_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,messy crosses,"",num coord of first and second nearest neighbors 14,"broad peaks, almost pristine",none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.65_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,very messy crosses,"",num coord of first and second nearest neighbors 14,"broad peaks, almost pristine",none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.6_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,messy crosses,"",num coord of first and second nearest neighbors 14,"broad peaks, almost pristine",none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.1_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,crosses,"",num coord of first and second nearest neighbors 14,almost pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.3_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,crosses,"",num coord of first and second nearest neighbors 14,"broad peaks, almost pristine",simulation box shears and the BCC unit cells seem to spread out in the simulation box and oriented in the [111]; visually looks like a BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.55_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,crosses/interlocking circles,"",num coord of first and second nearest neighbors 14,broad-ish peaks,"really visually looks like a BCT, but peaks are BCC (17, 41, 17); triclinic box"
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.5_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,messy crosses,"",double coord num 14,broad-ish peaks,"really visually looks like a BCT, but peaks are BCC (17, 41, 17); triclinic box"
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.5_eps_-70_EE_7_chn_num_3_linker_8,chain_len,"polycrystal BCC, different sublattice in each part ",120,"polycrystal BCC, different sublattice in each part ",messy interlocking hexes and very messy region,"",num coord of first and second nearest neighbors 13.19; STILL RUNNING WHEN CHECKED,"very broad peaks, bearly discernible BCC peaks",""
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.65_eps_-70_EE_7_chn_num_3_linker_8,chain_len,liquid,128,liquid,delocalized,"",STILL RUNNING WHEN CHECKED,liquidy,none
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.3_eps_-70_EE_6_chn_num_3_linker_8,chain_len,SC,136,SC,squares,"",num coord 6,pristine,"sides with two points and others with more that later appear to have two points, there is a lack of small particles"
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.4_eps_-70_EE_6_chn_num_3_linker_8,chain_len,SC,136,SC,squares,"",num coord 6,pristine,"sides with two points and others with more that later appear to have two points, there is a lack of small particles"
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.6_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCT-altcenter striped,136,mixture; maybe sort of jammed,arrows and something/honeycombs,"no, too few particles",,almost pristine  with werird bumps,tricilinc box
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.3_eps_-70_EE_10_chn_num_3_linker_8,chain_len,mixture,136,mixture,squares and line of distorted squares,"",coord num 5.66,SC peaks; small peaks shouldering large peaks,diagonal line defect
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.5_eps_-70_EE_10_chn_num_3_linker_8,chain_len,BCTsqrt6a,136,BCTsqrt6a,localized distribution,"no, need to extend",num coord 4,pristine peaks,""
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.67_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCT-altcenter polycrystal,136,mixture of possibly two crystal structures,localized distributions,"no, rerun",num coord of two neighbors 6,defined peaks with many shouldering peaks,"two grains boundaries, stabilizes at frame 18"
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.7_eps_-70_EE_10_chn_num_3_linker_8,chain_len,jammed,136,mixture,very messy,no,crystal peaks correspond to BCTsqrt6a,two defined peaks (possibly SC) rest is liquid like,looks jammed and maybe has many crystal phases jumbled together
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.75_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,neat crosses,"",num coord 8 or double coord 14,almost pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.77_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,neat crosses,"",num coord 8 or double coord 14,almost pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.9_eps_-70_EE_10_chn_num_3_linker_8,chain_len,mixture,136,mixture of lattice no ID,"","no, rerun",num coord 3.8,"shouldering peaks, discernible peaks","first transition 50, second 77, both are accompanied with box shearing "
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.0_eps_-70_EE_10_chn_num_3_linker_8,chain_len,coexistance BCC/FCC,136,ordered liquid,messy,"no, not enough frames",,"two discernible peaks, rest is liquid like",there seems to be a very messy sublattice but it is debatable
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.2_eps_-70_EE_10_chn_num_3_linker_8,chain_len,FCC,136,FCC,messy interlocking hexes,"",coord num 12,"braod peaks, FCC peaks",none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.341_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,crosses,"",double coord 14,almost pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.4_eps_-70_EE_10_chn_num_3_linker_8,chain_len,liquid,136,liquid,,"",,liquid,
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.67_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,messy crosses,"",double coord 14,broad peaks,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.69_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,messy crosses,"",double coord 14,broad peaks,box shears into triclinic box but seems to have a BCC crystal within it
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.7_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,very messy crosses,"",double coord 14,broad peaks,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.71_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,very messy crosses,"",double coord 14,broad peaks,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.72_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,very messy crosses,"",double coord 14,broad peaks,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.73_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,very messy crosses,"",double coord 14,broad peaks,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.74_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,very messy crosses,"",double coord 14,broad peaks,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.75_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,very messy crosses,"",double coord 14,broad peaks,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.77_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,very messy crosses,"",double coord 14,broad peaks,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.78_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,very messy crosses,"",double coord 14,"very broad peaks, deviates slightly from BCC",none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.79_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,very messy crosses; almost delocalized,"",double coord 14,very broad peaks,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.8_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,very messy crosses and mobile delocalized sublattice,"",double coord 13.6,"very broad peaks, deviates slightly from BCC",messy region appears at frame 30
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.81_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,very messy crosses and mobile delocalized sublattice,"",double coord 13.6,"very broad peaks, deviates slightly from BCC","messy region appears at frame 54, they seem to recede "
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.82_eps_-70_EE_6_chn_num_3_linker_8,chain_len,melting,136,melting,very messy crosses and mobile delocalized sublattice,"",double coord 13.6,"very broad peaks, deviates slightly from BCC","messy region appears at frame 125, they seem to recede "
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.83_eps_-70_EE_6_chn_num_3_linker_8,chain_len,melting,114,melting,"","","","very broad peaks, deviates slightly from BCC",BCC crystal that eventually explodes
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.832_eps_-70_EE_6_chn_num_3_linker_8,chain_len,melting,115,melting,"","","","very broad peaks, deviates slightly from BCC",BCC crystal that eventually takes off
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.838_eps_-70_EE_6_chn_num_3_linker_8,chain_len,fluid,136,fluid,,"",,,melts until frame 80
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.84_eps_-70_EE_6_chn_num_3_linker_8,chain_len,fluid,136,fluid,,"",,,melts until frame 80
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.3_eps_-70_EE_10_chn_num_3_linker_8,chain_len,mixture with no lattice ID,106,mixture with no lattice ID,messy squares and circles within squares,"",coord num 5.18,pristine shouldering peaks,"very strange lattice with mixtures, very visible looking in the +x direction"
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.5_eps_-70_EE_10_chn_num_3_linker_8,chain_len,jammed,101,jammed,"vague sublattice, otherwise very messy","",coord num 4.4,"two discernible peaks, rest is liquid like",""
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.0_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,crosses,"",double coord 14,pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.3_eps_-70_EE_10_chn_num_3_linker_8,chain_len,BCTsqrt6a,136,BCTsqrt6a,offset hexes,"",coord num 4,pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.5_eps_-70_EE_10_chn_num_3_linker_8,chain_len,SC polycrystal,136,SC polycrystal,messy squares,no,coord num 5,pristine but shouldering peak between first two peaks,""
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.7_eps_-70_EE_10_chn_num_3_linker_8,chain_len,jammed,136,jammed; slightly ordered,delocalized,no,a few places that look a little ordered,"two discernible peaks, rest is liquid like",none
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.7_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCT-altcenter,136,HCP,wide honeycomb,"","double coord 6;prob NiAs
peak:
10.45
11.25
13.35
15.05
19.15
20.65",almost pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.9_eps_-70_EE_10_chn_num_3_linker_8,chain_len,jammed,136,jammed; slightly ordered,delocalized,no,"NA
","two clear peaks, then liquidY","faint sublattice in some regions
"
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.9_eps_-70_EE_6_chn_num_3_linker_8,chain_len,SC,136,SC,squares,"",coord num 6,pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.0_eps_-70_EE_10_chn_num_3_linker_8,chain_len,jammed,136,liquidy,delocalized,no,,"two peaks, then liquidY","faint sublattice in some regions
"
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.0_eps_-70_EE_6_chn_num_3_linker_8,chain_len,SC,136,SC,squares,"",coord num 6,pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.1_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,"crosses, interlocking hexes","",double coord num 14,pristine,tricilinic box
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.15_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,"crosses, interlocking hexes","",double coord num 14,pristine,tricilinic box; stabilizes at frame 10
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.2_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,"crosses, interlocking hexes","",double coord num 14,almost pristine,tricilinic box
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.25_eps_-70_EE_6_chn_num_3_linker_8,chain_len,"mixture (maybe just missing AC), mostly BCC",136,"mixture (maybe just missing AC), mostly BCC",messy interlocking hexes,"",double coord num 14,broad peaks,first peak pretty diff from BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.3_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,messy crosses,"",double coord num 14,almost pristine,triclinic box
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.5_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,messy crosses,"",double coord num 14,almost pristine,triclinic box
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.7_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,very messy crosses,"",double coord num 14,broad peaks,none
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.9_eps_-70_EE_6_chn_num_3_linker_10,chain_len,liquid,136,liquid,,"",,liquid,
